sample_index,model_id,official_split,selection_rank_sha256,step_file,step_bytes,step_sha256,file_description,file_schema,manifold_solid_brep,brep_with_voids,closed_shell,advanced_face,has_step_end_marker,validation_status
64,56248_b358425c_4,test,02ec0ae7acce2c01972d11a4c0043aa324b000b0cbf39aa67da55ce511a4a463,step/56248_b358425c_4.stp,27583,1aca5c071ba0e15d216ba390290355be0e21c4335b83e7126805fc375558176a,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,14,True,text_audited_kernel_validation_pending
65,44354_07805a0e_0,test,02f03d28f9e3c4409d40cdd466133e23c21328dfc01903a8d58af4faeb1818b7,step/44354_07805a0e_0.stp,22956,31a25ac48ac35801bce89025df98ea83e75824c0b5304098fa7862dfe99c0873,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,12,True,text_audited_kernel_validation_pending
66,27866_ece3076e_102,test,02f6f34398fd2a4d4542d3ce44ae76ce9a2c2f02409137c9aa660863f27f3892,step/27866_ece3076e_102.stp,20312,5a9bdc3fb1beb5a1bd8369f6ca70f3b7644fff54959f0ae66bbd1e5e07f71371,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,10,True,text_audited_kernel_validation_pending
67,75982_f8018303_13,test,03114112eb85a4de53fd258ef8d1bc36cea019f87fd19b048d049f6b0db27241,step/75982_f8018303_13.stp,11604,843b1245576a4cc553e9dc9064b1e0ce4922fb297df7f7e72ae5aa61885a835f,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,6,True,text_audited_kernel_validation_pending
68,30910_38ea5a06_21,test,03147ba80c52a2e65d5a587d4f02749d828ffcdbd17285b61e247de2893ad948,step/30910_38ea5a06_21.stp,6225,5b07cd013160f3c2307f358c5e2e92bb7db36d7ed8c5c8f6e21a57b62f9ba6c4,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,3,True,text_audited_kernel_validation_pending
69,136652_a09ad805_10,test,032d2b9cad9aaad5ecf157646e27db64ea86189830239c872025df22f8b1d736,step/136652_a09ad805_10.stp,18732,90beea96cf11ce2fa7799c773dfcf84aab292a803035cba3175e9b1a12aa72d1,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,9,True,text_audited_kernel_validation_pending
70,41472_f9d73638_12,test,032f33d02ffe486c6449c33542790a87785026fda1abaf129326a4992ae8669f,step/41472_f9d73638_12.stp,9020,191ec5a2e33632903e04d4400aba4412e62593a94fe9f568e8f8fcba4c38ab07,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,5,True,text_audited_kernel_validation_pending
71,134850_0ceb2f11_45,test,0337be11d0b70d9a6f5fd0abd8422678643716f7203af1025c6f8ef26977c8f7,step/134850_0ceb2f11_45.stp,17341,bc5cf3cf58dc5cb4a96858699c05ef33e59423558cebccfe0205bf72782a7059,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,8,True,text_audited_kernel_validation_pending
72,45468_eaf0dc99_3,test,03477a473c93c121467103cf64eb8f06e542b98d5cdbfb86fad42a5169b79513,step/45468_eaf0dc99_3.stp,29127,85d151c7514a8668ea25a135f98fa96a9491cbb5f40849434f817dd6883e0a4a,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,13,True,text_audited_kernel_validation_pending
73,68956_753650aa_4,test,03495847778821ac2ccb96e4fce07d3a464a9c0ddf8608a4abb883aa6291ba54,step/68956_753650aa_4.stp,18308,1fc0acfc81d32f6eaefafeacdd2a28b986679b66981fc373a981585f0f2831f4,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,10,True,text_audited_kernel_validation_pending
74,66323_15018ef7_1,test,035dfa9cc1841835e0cc6b492dc762cf2f3b7c46d4b6fcc91a478cd52b720b4f,step/66323_15018ef7_1.stp,65859,083fc1bba39905e5ec5d98efe762936fba4310ac6325424ac4a14480a020d334,unspecified,AUTOMOTIVE_DESIGN { 1 0 10303 214 3 1 1 },1,0,1,9,True,text_audited_kernel_validation_pending
