corpus_id,source_group,model_name,official_split,runner_status,exit_code,tool_ok,shape_valid,solid_subset_valid,solids,shells,faces,open_shells,all_shells_closed,positive_solids,nonpositive_solids,all_solids_positive,brep_signed_volume,mesh_vertices,mesh_triangles,mesh_boundary_edges,mesh_nonmanifold_edges,mesh_components,mesh_watertight,mesh_positive_signed_volume,dual_contouring_candidate,rejection_reason,elapsed_seconds,expected_sha256,observed_sha256,input_path
F003,Fusion360Gallery,78606_53ee0da2_1,test,completed,0,True,True,True,1,1,4,0,True,1,0,True,1057.883240494521,162,324,0,0,1,True,True,True,admitted,0.006776166,1f919b78ecdab13b789777b4323a03eb8ec4d2178d5668a34731d8a0e16f8670,1f919b78ecdab13b789777b4323a03eb8ec4d2178d5668a34731d8a0e16f8670,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/78606_53ee0da2_1.stp
F004,Fusion360Gallery,38287_88ec74de_86,test,completed,0,True,True,True,1,1,4,0,True,1,0,True,295.2393440604394,148,296,0,0,1,True,True,True,admitted,0.007201708,18061ef876861f9b75f09cf1290f8dfb432592fe22a473f16e70892a693f6777,18061ef876861f9b75f09cf1290f8dfb432592fe22a473f16e70892a693f6777,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/38287_88ec74de_86.stp
F005,Fusion360Gallery,40524_7b7ca640_8,test,completed,0,True,True,True,1,1,3,0,True,1,0,True,2887.57756781861,1684,3364,0,0,1,True,True,True,admitted,0.045288708,9bfa5d5e2925ce7a6da7e1104073b899d2fce41317ed1c0072a6ff2f12b6cc19,9bfa5d5e2925ce7a6da7e1104073b899d2fce41317ed1c0072a6ff2f12b6cc19,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/40524_7b7ca640_8.stp
F006,Fusion360Gallery,23685_4e489619_4,test,completed,0,True,True,True,1,1,36,0,True,1,0,True,85.27616192890802,977,1962,0,0,1,True,True,True,admitted,0.069184625,a414cd427573d214ea25fe008f556a4b59aa9a93fac2fa7a83322b83405e4194,a414cd427573d214ea25fe008f556a4b59aa9a93fac2fa7a83322b83405e4194,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/23685_4e489619_4.stp
F007,Fusion360Gallery,125152_65ed33fd_17,test,completed,0,True,True,True,1,1,22,0,True,1,0,True,220.22078981673687,1493,2982,0,0,1,True,True,True,admitted,0.058592041,413e34f6a4c57028991e2094d876c2edc78fe6367d6e56ec2b3005c85e4083b3,413e34f6a4c57028991e2094d876c2edc78fe6367d6e56ec2b3005c85e4083b3,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/125152_65ed33fd_17.stp
F008,Fusion360Gallery,23035_6087bb57_5,test,completed,0,True,True,True,1,1,6,0,True,1,0,True,146.60009504737974,8,12,0,0,1,True,True,True,admitted,0.0076655,cee738b364a57436bbdf97ceff923fb734fa5d99ab82a00a11ff4a4d2fcd4cdf,cee738b364a57436bbdf97ceff923fb734fa5d99ab82a00a11ff4a4d2fcd4cdf,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/23035_6087bb57_5.stp
F009,Fusion360Gallery,24890_5f8a67df_14,test,completed,0,True,True,True,1,1,5,0,True,1,0,True,102.11468534192772,344,688,0,0,1,True,True,True,admitted,0.008740625,c87b44318161a140a30e6340df8c6fc929b2ad0771103e00750241175916651b,c87b44318161a140a30e6340df8c6fc929b2ad0771103e00750241175916651b,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/24890_5f8a67df_14.stp
F010,Fusion360Gallery,131656_7da36cb9_0,test,completed,0,True,True,True,1,1,17,0,True,1,0,True,2611.0633003927323,94,184,0,0,1,True,True,True,admitted,0.017169291,6bc70a7933cae0a2ff1b6ecfba3c414b181b4a1aa0742d18a7cea0d6bde5b7c0,6bc70a7933cae0a2ff1b6ecfba3c414b181b4a1aa0742d18a7cea0d6bde5b7c0,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/131656_7da36cb9_0.stp
F011,Fusion360Gallery,119787_9a55dfa9_11,test,completed,0,True,True,True,1,1,6,0,True,1,0,True,699.9999999999999,8,12,0,0,1,True,True,True,admitted,0.008091125,45fed1476f09dda54a772fa22c9b7e3fbc320581da2a48fcbb23c7c400d0775d,45fed1476f09dda54a772fa22c9b7e3fbc320581da2a48fcbb23c7c400d0775d,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/119787_9a55dfa9_11.stp
F012,Fusion360Gallery,22670_9353c710_3,test,completed,0,True,True,True,1,1,20,0,True,1,0,True,75.49813702322284,440,884,0,0,1,True,True,True,admitted,0.02096725,b796eb9130e42545f45a37d87bbff288b4c9c077bc566bb1ed70b958f5316a13,b796eb9130e42545f45a37d87bbff288b4c9c077bc566bb1ed70b958f5316a13,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/22670_9353c710_3.stp
F013,Fusion360Gallery,32960_0eaa1de8_9,test,completed,0,True,True,True,1,1,8,0,True,1,0,True,87.59536566119631,60,116,0,0,1,True,True,True,admitted,0.011206458,5c53cc342b4126000e14e4cf111d5a602636f17d8796a3fbe3dfae7ab83166a8,5c53cc342b4126000e14e4cf111d5a602636f17d8796a3fbe3dfae7ab83166a8,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/32960_0eaa1de8_9.stp
F014,Fusion360Gallery,34782_b461066c_3,test,completed,0,True,True,True,1,1,6,0,True,1,0,True,79.9397989571182,186,368,0,0,1,True,True,True,admitted,0.01909675,59b4fb55c96e621d9fa5e8f3bac49612ca5f439f7f7c298f72c1ec05bc36fb55,59b4fb55c96e621d9fa5e8f3bac49612ca5f439f7f7c298f72c1ec05bc36fb55,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/34782_b461066c_3.stp
F015,Fusion360Gallery,137166_90691294_15,test,completed,0,True,True,True,1,1,10,0,True,1,0,True,318.38733144016805,16,28,0,0,1,True,True,True,admitted,0.012640042,ce18f0f11d4945da5c83bd55a6c3104836e03a7df18c8191742d4e886f82ff1b,ce18f0f11d4945da5c83bd55a6c3104836e03a7df18c8191742d4e886f82ff1b,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/137166_90691294_15.stp
F016,Fusion360Gallery,21852_6cf9a734_3,test,completed,0,True,True,True,1,1,25,0,True,1,0,True,814.0484504045208,1149,2314,0,0,1,True,True,True,admitted,0.02666775,4a9d0258e82cb49b3744cef5dc9d89c787412225debdfdfcae18b1d2212cfccc,4a9d0258e82cb49b3744cef5dc9d89c787412225debdfdfcae18b1d2212cfccc,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/21852_6cf9a734_3.stp
F017,Fusion360Gallery,145530_0a838de7_5,test,completed,0,True,True,True,1,1,297,0,True,1,0,True,621.3032367699531,1585,3250,0,0,1,True,True,True,admitted,0.628541666,d6c53bf03531c0d194d8a77fffbd80a8bc7917e2b8b6327ef07cec5d4e03059d,d6c53bf03531c0d194d8a77fffbd80a8bc7917e2b8b6327ef07cec5d4e03059d,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/145530_0a838de7_5.stp
F018,Fusion360Gallery,21242_6c2af7c2_5,test,completed,0,True,True,True,1,1,5,0,True,1,0,True,3118.1869813938542,417,834,0,0,1,True,True,True,admitted,0.038041833,163a1b9f764618ac96ec2c661901a7a3ca4ffbe5da494f162be6f7122ef91786,163a1b9f764618ac96ec2c661901a7a3ca4ffbe5da494f162be6f7122ef91786,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/21242_6c2af7c2_5.stp
F019,Fusion360Gallery,32220_1fd19c5e_36,test,completed,0,True,True,True,1,1,14,0,True,1,0,True,252.87205178581954,24,44,0,0,1,True,True,True,admitted,0.018221458,8b9e095195a56ab343806c00a53b7ab15da3bea4288d9f7bc19210f4edf151c8,8b9e095195a56ab343806c00a53b7ab15da3bea4288d9f7bc19210f4edf151c8,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/32220_1fd19c5e_36.stp
F020,Fusion360Gallery,123094_af46c5e1_20,test,completed,0,True,True,True,1,1,6,0,True,1,0,True,97.04253260484498,194,384,0,0,1,True,True,True,admitted,0.008826958,8874159645ea83ee1720ae977d490d0f0294fbd9225a9582176de332c918f45c,8874159645ea83ee1720ae977d490d0f0294fbd9225a9582176de332c918f45c,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/123094_af46c5e1_20.stp
F021,Fusion360Gallery,138423_553700e1_4,test,completed,0,True,True,True,1,1,8,0,True,1,0,True,100.3079814726563,841,1678,0,0,1,True,True,True,admitted,0.033715041,7bbecf0038588b4d73e640497fa39720d196a678f6f32cef4a5e79ecfa9b420b,7bbecf0038588b4d73e640497fa39720d196a678f6f32cef4a5e79ecfa9b420b,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/138423_553700e1_4.stp
F022,Fusion360Gallery,21641_83f43fad_2,test,completed,0,True,True,True,1,1,3,0,True,1,0,True,392.69908169872417,72,140,0,0,1,True,True,True,admitted,0.005549416,60c82d7a86f108dd72fc1c59394e2ea8446405b4ab4a322e5d7892a70f5c259c,60c82d7a86f108dd72fc1c59394e2ea8446405b4ab4a322e5d7892a70f5c259c,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/21641_83f43fad_2.stp
F023,Fusion360Gallery,38287_88ec74de_73,test,completed,0,True,True,True,1,1,9,0,True,1,0,True,404.5077471984371,208,416,0,0,1,True,True,True,admitted,0.012954208,5021ada304e0d8869733bb750eace34b3d58ca1bf95c05d7f66ba928c9b93488,5021ada304e0d8869733bb750eace34b3d58ca1bf95c05d7f66ba928c9b93488,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/38287_88ec74de_73.stp
F024,Fusion360Gallery,29845_053c4c5b_4,test,completed,0,True,True,True,1,1,22,0,True,1,0,True,544.1746593056915,228,456,0,0,1,True,True,True,admitted,0.051860833,f26dace0d3e382e0ca71fa92ea5410bad6e52c6e1cee1bc2c2ccb7219e5caf9e,f26dace0d3e382e0ca71fa92ea5410bad6e52c6e1cee1bc2c2ccb7219e5caf9e,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/29845_053c4c5b_4.stp
F025,Fusion360Gallery,53078_b592f2bd_13,test,completed,0,True,True,True,1,1,14,0,True,1,0,True,335.53151995926765,404,808,0,0,1,True,True,True,admitted,0.019658625,ada89ac0c9d69ea69ef2ab0b306e4100cad87bd19fd72644fcc3d8a52305bee1,ada89ac0c9d69ea69ef2ab0b306e4100cad87bd19fd72644fcc3d8a52305bee1,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/53078_b592f2bd_13.stp
F026,Fusion360Gallery,23418_18c3b38d_5,test,completed,0,True,True,True,1,1,8,0,True,1,0,True,849.068132794371,928,1856,0,0,1,True,True,True,admitted,0.014665792,f76deac3c9fc1dbe510876945d623cd0c24c67187f2e1b7b74f530728734bc60,f76deac3c9fc1dbe510876945d623cd0c24c67187f2e1b7b74f530728734bc60,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/23418_18c3b38d_5.stp
F027,Fusion360Gallery,76880_9bb28e72_11,test,completed,0,True,True,True,1,1,4,0,True,1,0,True,96.43022372177802,192,384,0,0,1,True,True,True,admitted,0.006844167,88734f6db8544920d040cdec696098878f35f2f4c14e33b47b8ec11bea7b6064,88734f6db8544920d040cdec696098878f35f2f4c14e33b47b8ec11bea7b6064,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/76880_9bb28e72_11.stp
F028,Fusion360Gallery,23676_52069f98_21,test,completed,0,True,True,True,1,1,10,0,True,1,0,True,2621.8723874403704,559,1114,0,0,1,True,True,True,admitted,0.011021875,6c4ec6b9e4974fb6ddd388af7ec10bce5e059b5a57f9e40e7e16de6733387a58,6c4ec6b9e4974fb6ddd388af7ec10bce5e059b5a57f9e40e7e16de6733387a58,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/23676_52069f98_21.stp
F029,Fusion360Gallery,54516_ac9e2ef4_16,test,completed,0,True,True,True,1,1,26,0,True,1,0,True,5118.751551867557,154,304,0,0,1,True,True,True,admitted,0.033886625,7f4fc7e3a59bffbf6a774f20829d6a583a1849e5e228e3a1cfe7b2165d7972a2,7f4fc7e3a59bffbf6a774f20829d6a583a1849e5e228e3a1cfe7b2165d7972a2,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/54516_ac9e2ef4_16.stp
F030,Fusion360Gallery,138756_a39897f4_0,test,completed,0,True,True,True,1,1,19,0,True,1,0,True,30.144027110130413,241,486,0,0,1,True,True,True,admitted,0.039236416,a0c48fff33205db4f44e5fecf199fb1295f50513791ecd88396c0d9e864f4e50,a0c48fff33205db4f44e5fecf199fb1295f50513791ecd88396c0d9e864f4e50,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/138756_a39897f4_0.stp
F031,Fusion360Gallery,54073_7d8cdd04_1,test,completed,0,True,True,True,1,1,10,0,True,1,0,True,1941.9705959403195,53,102,0,0,1,True,True,True,admitted,0.01532125,41c4798047eedc08ab16ef2d1a4f2e35a63070d0c2b305f3fa25ef6ae12310a4,41c4798047eedc08ab16ef2d1a4f2e35a63070d0c2b305f3fa25ef6ae12310a4,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/54073_7d8cdd04_1.stp
F032,Fusion360Gallery,50927_e458e13b_0,test,completed,0,True,True,True,1,1,5,0,True,1,0,True,22.823275427439924,144,284,0,0,1,True,True,True,admitted,0.007003292,4658ba33440ee397195d9d14a2cc1578df15b6831022ec30c37bb813c04edbfa,4658ba33440ee397195d9d14a2cc1578df15b6831022ec30c37bb813c04edbfa,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/50927_e458e13b_0.stp
F033,Fusion360Gallery,130757_b2c47f8d_9,test,completed,0,True,True,True,1,1,79,0,True,1,0,True,494.3432233512892,1162,2344,0,0,1,True,True,True,admitted,0.099731833,aa0c711dd67ff08f8399536da2709303b50f4b9969cd7eaf8cd10f8aae78f935,aa0c711dd67ff08f8399536da2709303b50f4b9969cd7eaf8cd10f8aae78f935,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/130757_b2c47f8d_9.stp
F034,Fusion360Gallery,35145_a3d7363c_11,test,completed,0,True,True,True,1,1,18,0,True,1,0,True,1.1093263878793906,592,1216,0,0,1,True,True,True,admitted,0.026958875,6a3a38e623a1b773710e24891a583e02110b2e1552649b960ed7fec5e7cf655f,6a3a38e623a1b773710e24891a583e02110b2e1552649b960ed7fec5e7cf655f,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/35145_a3d7363c_11.stp
F035,Fusion360Gallery,22711_33843a5d_15,test,completed,0,True,True,True,1,1,12,0,True,1,0,True,323.96943696866396,230,456,0,0,1,True,True,True,admitted,0.014143834,782dfe5dc680809cb546671ab27fa5e63e2aaebe16b0d6497f80022435b92aca,782dfe5dc680809cb546671ab27fa5e63e2aaebe16b0d6497f80022435b92aca,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/22711_33843a5d_15.stp
F036,Fusion360Gallery,100112_bc0a563a_4,test,completed,0,True,True,True,1,1,8,0,True,1,0,True,1737.7128758619542,12,20,0,0,1,True,True,True,admitted,0.010217666,f45d6bba95059c9d50bf56c7351eacaae501cea3ab6a3c5320ec560de169216f,f45d6bba95059c9d50bf56c7351eacaae501cea3ab6a3c5320ec560de169216f,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/100112_bc0a563a_4.stp
F037,Fusion360Gallery,31018_a01ba8e5_6,test,completed,0,True,True,True,1,1,10,0,True,1,0,True,2.367542860194038,16,32,0,0,1,True,True,True,admitted,0.022203417,f98fa762b8d29dff15c28ef0ea803c1ff949e3b6466dc11a96db6f4956d2b791,f98fa762b8d29dff15c28ef0ea803c1ff949e3b6466dc11a96db6f4956d2b791,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/31018_a01ba8e5_6.stp
F038,Fusion360Gallery,70313_c860c42b_0,test,completed,0,True,True,True,1,1,9,0,True,1,0,True,1764.8173055905727,1338,2672,0,0,1,True,True,True,admitted,0.015295292,ff629f670e72bcd4c106e09192a656750b174d645df6be00534e2052c540df40,ff629f670e72bcd4c106e09192a656750b174d645df6be00534e2052c540df40,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/70313_c860c42b_0.stp
F039,Fusion360Gallery,48227_390437ae_1,test,completed,0,True,True,True,1,1,18,0,True,1,0,True,39.968028085742176,2500,5000,0,0,1,True,True,True,admitted,0.025478291,9662aa0f77414ee2b6acd65d74105db288322cae1971594f4ef9dbbe63a6f370,9662aa0f77414ee2b6acd65d74105db288322cae1971594f4ef9dbbe63a6f370,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/48227_390437ae_1.stp
F040,Fusion360Gallery,148051_c59af578_9,test,completed,0,True,True,True,1,1,31,0,True,1,0,True,14.312803376638186,520,1060,0,0,1,True,True,True,admitted,0.044994041,6537c4b4fa2cdf188797ae84a1541c8b6939d192650e4cf0e2165d2c53e3e7c0,6537c4b4fa2cdf188797ae84a1541c8b6939d192650e4cf0e2165d2c53e3e7c0,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/148051_c59af578_9.stp
F041,Fusion360Gallery,48183_91e0b011_9,test,completed,0,True,True,True,1,1,18,0,True,1,0,True,837.8862092071441,198,396,0,0,1,True,True,True,admitted,0.023742209,648514e202cf150273d55c1b2949d444a5eae4984da4291e8456d0831d9381a3,648514e202cf150273d55c1b2949d444a5eae4984da4291e8456d0831d9381a3,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/48183_91e0b011_9.stp
F042,Fusion360Gallery,44417_dfea0c21_2,test,completed,0,True,True,True,1,1,11,0,True,1,0,True,20.346820248717307,88,176,0,0,1,True,True,True,admitted,0.014469333,6b6df915fdc9921903f67d4ef44bf2181bad49552984d9284f03ed0a729be493,6b6df915fdc9921903f67d4ef44bf2181bad49552984d9284f03ed0a729be493,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/44417_dfea0c21_2.stp
F043,Fusion360Gallery,24890_5f8a67df_7,test,completed,0,True,True,True,1,1,30,0,True,1,0,True,414.5450508258548,546,1092,0,0,1,True,True,True,admitted,0.041009958,6c644502ebcc47bcde539471ecb3b324bc3f0a34677a9bde0621040d1ad38bde,6c644502ebcc47bcde539471ecb3b324bc3f0a34677a9bde0621040d1ad38bde,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/24890_5f8a67df_7.stp
F044,Fusion360Gallery,39101_23fec10f_19,test,completed,0,True,True,True,1,1,7,0,True,1,0,True,389.00121751333916,210,420,0,0,1,True,True,True,admitted,0.011436167,ec92399327ca5664556802e2c1fd55b43fb28eb296dc52d8b563385a3a8a3107,ec92399327ca5664556802e2c1fd55b43fb28eb296dc52d8b563385a3a8a3107,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/39101_23fec10f_19.stp
F045,Fusion360Gallery,37016_455093c1_0,test,completed,0,True,True,True,1,1,6,0,True,1,0,True,963.5676317055345,816,1628,0,0,1,True,True,True,admitted,0.010914292,a0c7ac375af07f0a6b4d2c9c3db6ef2514bf1c2c404d7542a74d9825e774e9fd,a0c7ac375af07f0a6b4d2c9c3db6ef2514bf1c2c404d7542a74d9825e774e9fd,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/37016_455093c1_0.stp
F046,Fusion360Gallery,65842_de75838b_3,test,completed,0,True,True,True,1,1,6,0,True,1,0,True,285.36454285097517,8,12,0,0,1,True,True,True,admitted,0.007681,cd7246d658fda4137b18d5b69dff09afbd0fe30eb789682eef3a3ced7446bd6a,cd7246d658fda4137b18d5b69dff09afbd0fe30eb789682eef3a3ced7446bd6a,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/65842_de75838b_3.stp
F047,Fusion360Gallery,33499_48ac4df4_1,test,completed,0,True,True,True,1,1,8,0,True,1,0,True,139.75455534793957,443,886,0,0,1,True,True,True,admitted,0.010007208,a200ac93da9bfd176e497f7d04ad4cebbef9ab56fe7866ec77d1944583308219,a200ac93da9bfd176e497f7d04ad4cebbef9ab56fe7866ec77d1944583308219,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/33499_48ac4df4_1.stp
F048,Fusion360Gallery,43681_027a109d_4,test,completed,0,True,True,True,1,1,24,0,True,1,0,True,381.92776954595007,2000,4000,0,0,1,True,True,True,admitted,0.024799834,ae5a26ad4b708cadf0809e6e863b175df62f988c7ff8b4c29c167da03a1f1d52,ae5a26ad4b708cadf0809e6e863b175df62f988c7ff8b4c29c167da03a1f1d52,${GRADIENT_QEF_CAD_ROOT}/Fusion360Gallery/s2.0.1_extended_step/sample_500/step/43681_027a109d_4.stp
